,Title,Year,First Author,Author Count,Citation Count,Citation Five Years,Bibcode
5095,Kinematics in the Galactic Bulge with APOGEE. II. High-Order Kinematic Moments and Comparison to Extragalactic Bar Diagnostics,2016,"Zasowski, G.",6,38,32,2016ApJ...832..132Z
5096,Magnetar Outbursts from Avalanches of Hall Waves and Crustal Failures,2016,"Li, Xinyu",3,70,44,2016ApJ...833..189L
5097,"The Internal Structure of overpressured, Magnetized, Relativistic Jets",2016,"Martí, J. M.",3,51,38,2016ApJ...831..163M
5098,Absorption-line Spectroscopy of Gravitationally Lensed Galaxies: Further Constraints on the Escape Fraction of Ionizing Photons at High Redshift,2016,"Leethochawalit, Nicha",5,47,32,2016ApJ...831..152L
5099,Measuring the Magnetic Field of Coronal Mass Ejections Near the Sun Using Pulsars,2016,"Howard, T. A.",5,34,26,2016ApJ...831..208H
5100,An Exploration of the Statistical Signatures of Stellar Feedback,2016,"Boyden, Ryan D.",4,15,14,2016ApJ...833..233B
5101,Merging Galaxies with Tidal Tails in COSMOS to z = 1,2016,"Wen, Zhang Zheng",2,22,10,2016ApJ...832...90W
5102,Interaction between the Supernova Remnant HB 3 and the Nearby Star-forming Region W3,2016,"Zhou, Xin",6,18,11,2016ApJ...833....4Z
5103,Ultra-deep GEMINI Near-infrared Observations of the Bulge Globular Cluster NGC 6624.,2016,"Saracino, S.",11,38,27,2016ApJ...832...48S
5104,Observations and Simulations of the Na I D<SUB>1</SUB> Line Profiles in an M-class Solar Flare,2016,"Kuridze, D.",10,22,15,2016ApJ...832..147K
5105,The High Cadence Transient Survey (HITS). I. Survey Design and Supernova Shock Breakout Constraints,2016,"Förster, F.",22,55,37,2016ApJ...832..155F
5106,General-Relativistic Three-Dimensional Multi-group Neutrino Radiation-Hydrodynamics Simulations of Core-Collapse Supernovae,2016,"Roberts, Luke F.",6,158,124,2016ApJ...831...98R
5107,Variational Principle for Planetary Interiors,2016,"Zeng, Li",2,8,4,2016ApJ...829...18Z
5108,Laboratory Frequency Redistribution Function for the Polarized Λ -type Three-term Atom,2016,"Casini, R.",2,3,2,2016ApJ...833..197C
5109,GeMS/GSAOI Photometric and Astrometric Performance in Dense Stellar Fields,2016,"Dalessandro, E.",10,21,15,2016ApJ...833..111D
5110,Quasi-periodic Acceleration of Electrons in the Flare on 2012 July 19,2016,"Huang, Jing",4,16,10,2016ApJ...831..119H
5111,The Magnetic Furnace: Intense Core Dynamos in B Stars,2016,"Augustson, Kyle C.",3,95,51,2016ApJ...829...92A
5112,Spitzer IRAC Observations of IR Excess in Holmberg IX X-1: A Circumbinary Disk or a Variable Jet?,2016,"Dudik, R. P.",7,11,5,2016ApJ...831...88D
5113,"Contact Binaries as Viable Distance Indicators: New, Competitive (V)JHK <SUB>s</SUB> Period-Luminosity Relations",2016,"Chen, Xiaodian",3,32,19,2016ApJ...832..138C
5114,The Molecular Baryon Cycle of M82,2016,"Chisholm, John",2,16,11,2016ApJ...830...72C
5115,Measuring Neutron Star Radii via Pulse Profile Modeling with NICER,2016,"Özel, Feryal",5,73,62,2016ApJ...832...92O
5116,Automated Detection of Coronal Mass Ejections in STEREO Heliospheric Imager Data,2016,"Pant, V.",6,21,12,2016ApJ...833...80P
5117,"The Panchromatic View of the Magellanic Clouds from Classical Cepheids. I. Distance, Reddening, and Geometry of the Large Magellanic Cloud Disk",2016,"Inno, L.",11,76,59,2016ApJ...832..176I
5118,Instrument Description and Performance Evaluation of a High-Order Adaptive Optics System for the 1 m New Vacuum Solar Telescope at Fuxian Solar Observatory,2016,"Rao, Changhui",17,35,12,2016ApJ...833..210R
5119,The Nature of Active Galactic Nuclei with Velocity Offset Emission Lines,2016,"Müller-Sánchez, F.",4,24,19,2016ApJ...830...50M
5120,Dependence of Occurrence Rates of Solar Flares and Coronal Mass Ejections on the Solar Cycle Phase and the Importance of Large-scale Connectivity,2016,"Lee, Kangjin",3,9,7,2016ApJ...831..131L
5121,A Catalog of Kepler Habitable Zone Exoplanet Candidates,2016,"Kane, Stephen R.",14,143,100,2016ApJ...830....1K
5122,The Fragmentation and Stability of Hierarchical Structure in Serpens South,2016,"Friesen, R. K.",5,43,29,2016ApJ...833..204F
5123,Constraints of the Physics of Low-mass AGB Stars from CH and CEMP Stars,2016,"Cristallo, S.",5,55,31,2016ApJ...833..181C
5124,The [Ne III] Jet of DG Tau and its Ionization Scenarios,2016,"Liu, Chun-Fan",4,10,3,2016ApJ...832..153L
5125,Convection in Oblate Solar-Type Stars,2016,"Wang, Junfeng",3,6,3,2016ApJ...830...45W
5126,The Sloan Digital Sky Survey Reverberation Mapping Project: Velocity Shifts of Quasar Emission Lines,2016,"Shen, Yue",12,160,101,2016ApJ...831....7S
5127,Prospecting for Chemical Tags among Open Clusters,2016,"Lambert, David L.",2,11,8,2016ApJ...831..202L
5128,The Hydrogen Epoch of Reionization Array Dish. II. Characterization of Spectral Structure with Electromagnetic Simulations and Its Science Implications.,2016,"Ewall-Wice, Aaron",28,50,37,2016ApJ...831..196E
5129,Gap Opening in 3D: Single-planet Gaps,2016,"Fung, Jeffrey",2,112,66,2016ApJ...832..105F
5130,Delay Spectrum with Phase-tracking Arrays: Extracting the HI Power Spectrum from the Epoch of Reionization,2016,"Paul, Sourabh",54,24,17,2016ApJ...833..213P
5131,On the Formation of Molecular Clumps in QSO Outflows,2016,"Ferrara, A.",2,38,26,2016ApJ...833...46F
5132,Cosmological Constraints from the Redshift Dependence of the Alcock-Paczynski Effect: Application to the SDSS-III BOSS DR12 Galaxies,2016,"Li, Xiao-Dong",8,45,31,2016ApJ...832..103L
5133,Exploring the Role of Sub-micron-sized Dust Grains in the Atmospheres of Red L0-L6 Dwarfs,2016,"Hiranaka, Kay",5,55,39,2016ApJ...830...96H
5134,Flares on A-type Stars: Evidence for Heating of Solar Corona by Nanoflares?,2016,"Švanda, Michal",2,9,7,2016ApJ...831....9S
5135,Photometric and Astrometric Vagaries of the Enigma Star KIC 8462852,2016,"Makarov, Valeri V.",2,22,22,2016ApJ...833...78M
5136,Transverse Velocity Shifts in Protostellar Jets: Rotation or Velocity Asymmetries?,2016,"De Colle, Fabio",3,11,7,2016ApJ...832..152D
5137,Temporal Variability from the Two-Component Advective Flow Solution and Its Observational Evidence,2016,"Dutta, Broja G.",2,24,14,2016ApJ...828..101D
5138,Revealing the z ~ 2.5 Cosmic Web with 3D Lyα Forest Tomography: a Deformation Tensor Approach,2016,"Lee, Khee-Gan",2,32,18,2016ApJ...831..181L
5139,Stochastic Optics: A Scattering Mitigation Framework for Radio Interferometric Imaging,2016,"Johnson, Michael D.",1,52,31,2016ApJ...833...74J
5140,Hinode and IRIS Observations of the Magnetohydrodynamic Waves Propagating from the Photosphere to the Chromosphere in a Sunspot,2016,"Kanoh, Ryuichi",3,25,21,2016ApJ...831...24K
5141,Formation of the Unequal-mass Binary Protostars in L1551NE by Rotationally driven Fragmentation,2016,"Lim, Jeremy",6,12,9,2016ApJ...831...90L
5142,The H I Probability Distribution Function and the Atomic-to-molecular Transition in Molecular Clouds,2016,"Imara, Nia",2,33,14,2016ApJ...829..102I
5143,Herschel-resolved Outer Belts of Two-belt Debris Disks—Evidence of Icy Grains,2016,"Morales, F. Y.",4,44,29,2016ApJ...831...97M
5144,Effect of Spectral Index Distribution on Estimating the AGN Radio Luminosity Function,2016,"Yuan, Zunli",4,5,5,2016ApJ...829...95Y
5145,Graphite Revisited,2016,"Draine, B. T.",1,35,18,2016ApJ...831..109D
5146,An Eccentric Binary Millisecond Pulsar with a Helium White Dwarf Companion in the Galactic field,2016,"Antoniadis, John",8,34,23,2016ApJ...830...36A
5147,The ACS Fornax Cluster Survey. XII. Diffuse Star Clusters in Early-type Galaxies,2016,"Liu, Yiqing",8,11,6,2016ApJ...830...99L
5148,The Hawaii Infrared Parallax Program. II. Young Ultracool Field Dwarfs,2016,"Liu, Michael C.",3,202,115,2016ApJ...833...96L
5149,Runaway Dwarf Carbon Stars as Candidate Supernova Ejecta,2016,"Plant, Kathryn A.",6,7,5,2016ApJ...833..232P
5150,The Effects of the Ionosphere on Ground-based Detection of the Global 21 cm Signal from the Cosmic Dawn and the Dark Ages,2016,"Datta, Abhirup",6,34,17,2016ApJ...831....6D
5151,The Scaling Relations and Star Formation Laws of Mini-starburst Complexes,2016,"Nguyen-Luong, Quang",10,41,23,2016ApJ...833...23N
5152,A Search for Very High Energy Gamma Rays from the Missing Link Binary Pulsar J1023+0038 with VERITAS,2016,"Aliu, E.",85,9,7,2016ApJ...831..193A
5153,Hard X-Ray Asymmetry Limits in Solar Flare Conjugate Footpoints,2016,"Daou, Antoun G.",2,4,2,2016ApJ...832...63D
5154,Fundamental Parameters of Main-Sequence Stars in an Instant with Machine Learning,2016,"Bellinger, Earl P.",6,83,51,2016ApJ...830...31B
5155,Millimeter Transient Point Sources in the SPTpol 100 Square Degree Survey,2016,"Whitehorn, N.",58,34,13,2016ApJ...830..143W
5156,The JCMT Gould Belt Survey: Dense Core Clusters in Orion A,2016,"Lane, J.",12,30,22,2016ApJ...833...44L
5157,A Search for O<SUB>2</SUB> in CO-depleted Molecular Cloud Cores with Herschel,2016,"Wirström, Eva S.",4,14,10,2016ApJ...830..102W
5158,High-energy Neutrinos from Recent Blazar Flares,2016,"Halzen, Francis",2,22,18,2016ApJ...831...12H
5159,Helium Reionization Simulations. I. Modeling Quasars as Radiation Sources,2016,"La Plante, Paul",2,25,17,2016ApJ...828...90L
5160,Size of the Accretion Disk in the Graviationally Lensed Quasar SDSS J1004+4112 from the Statistics of Microlensing Magnifications,2016,"Fian, C.",7,28,13,2016ApJ...830..149F
5161,CH as a Molecular Gas Tracer and C-shock Tracer Across a Molecular Cloud Boundary in Taurus,2016,"Xu, Duo",2,23,13,2016ApJ...833...90X
5162,Impulsively Generated Sausage Waves in Coronal Tubes with Transversally Continuous Structuring,2016,"Yu, Hui",5,22,17,2016ApJ...833...51Y
5163,GRB 090510: A Genuine Short GRB from a Binary Neutron Star Coalescing into a Kerr-Newman Black Hole,2016,"Ruffini, R.",12,24,19,2016ApJ...831..178R
5164,Density Perturbation by Alfvén Waves in Magneto-plasma,2016,"Kumar, S.",3,0,0,2016ApJ...833..280K
5165,Compressible Flow in Front of an Axisymmetric Blunt Object: Analytic Approximation and Astrophysical Implications,2016,"Keshet, Uri",2,6,5,2016ApJ...830..147K
5166,Merging Black Hole Binaries in Galactic Nuclei: Implications for Advanced-LIGO Detections,2016,"Antonini, Fabio",2,372,208,2016ApJ...831..187A
5167,Radiation and Polarization Signatures of the 3D Multizone Time-dependent Hadronic Blazar Model,2016,"Zhang, Haocheng",3,34,20,2016ApJ...829...69Z
5168,IBEX Observations of Secondary Interstellar Helium and Oxygen Distributions,2016,"Park, Jeewoo",7,28,19,2016ApJ...833..130P
5169,Observational Confirmation of a Link Between Common Envelope Binary Interaction and Planetary Nebula Shaping,2016,"Hillwig, Todd C.",6,92,73,2016ApJ...832..125H
5170,The Kinematics of C IV in Star-forming Galaxies at z ≈ 1.2,2016,"Du, Xinnan",4,20,13,2016ApJ...829...64D
5171,Gravity-darkened Seasons: Insolation Around Rapid Rotators,2016,"Ahlers, John P.",1,9,6,2016ApJ...832...93A
5172,"Inferred H⍺ Flux as a Star Formation Rate Indicator at z ~ 4-5: Implications for Dust Properties, Burstiness, and the z = 4-8 Star Formation Rate Functions",2016,"Smit, Renske",6,106,60,2016ApJ...833..254S
5173,The SAMI Galaxy Survey: Galaxy Interactions and Kinematic Anomalies in Abell 119,2016,"Oh, Sree",28,20,11,2016ApJ...832...69O
5174,How the Density Environment Changes the Influence of the Dark Matter-Baryon Streaming Velocity on Cosmological Structure Formation,2016,"Ahn, Kyungjin",1,26,21,2016ApJ...830...68A
5175,On the Role of Repetitive Magnetic Reconnections in Evolution of Magnetic Flux Ropes in Solar Corona,2016,"Kumar, Sanjay",4,31,17,2016ApJ...830...80K
5176,Disk-Wind Connection during the Heartbeats of GRS 1915+105,2016,"Zoghbi, Abderahmen",17,30,21,2016ApJ...833..165Z
5177,Warm Jupiters from Secular Planet-Planet Interactions,2016,"Petrovich, Cristobal",2,119,68,2016ApJ...829..132P
5178,Multifractal Solar EUV Intensity Fluctuations and their Implications for Coronal Heating Models,2016,"Cadavid, A. C.",6,5,4,2016ApJ...831..186C
5179,"Radiative Transfer Model of Dust Attenuation Curves in Clumpy, Galactic Environments",2016,"Seon, Kwang-Il",2,75,46,2016ApJ...833..201S
5180,The Internal Structure and Propagation of Magnetohydrodynamical Thermonuclear Flames,2016,"Remming, Ian S.",2,4,4,2016ApJ...831..162R
5181,"ADDENDUM: “An X-Ray Spectral Model for Clumpy Tori in Active Galactic Nuclei” (2014, ApJ, 787, 52)",2016,"Liu, Yuan",2,3,3,2016ApJ...828..114L
5182,"Charged Dust Grain Dynamics Subject to Solar Wind, Poynting-Robertson Drag, and the Interplanetary Magnetic Field",2016,"Lhotka, Christoph",3,18,11,2016ApJ...828...10L
5183,Red Runaways II: Low-mass Hills Stars in SDSS Stripe 82,2016,"Zhang, Yanqiong",3,10,10,2016ApJ...832...10Z
5184,Dependence of the Sr-to-Ba and Sr-to-Eu Ratio on the Nuclear Equation of State in Metal-poor Halo Stars,2016,"Famiano, M. A.",4,3,3,2016ApJ...830...61F
5185,A Hot Gaseous Galaxy Halo Candidate with Mg X Absorption,2016,"Qu, Zhijie",2,16,13,2016ApJ...832..189Q
5186,Enabling Star Formation via Spontaneous Molecular Dipole Orientation in Icy Solids,2016,"Rosu-Finsen, Alexander",5,18,14,2016ApJ...832....1R
5187,On the Relationship of UC HII Regions and Class II Methanol Masers. I. Source Catalogs,2016,"Hu, B.",8,74,32,2016ApJ...833...18H
5188,Observed Variability at 1 and 4 μm in the Y0 Brown Dwarf WISEP J173835.52+273258.9,2016,"Leggett, S. K.",13,34,24,2016ApJ...830..141L
5189,Radio Observations of a Sample of Broad-line Type IC Supernovae Discovered by PTF/IPTF: A Search for Relativistic Explosions,2016,"Corsi, A.",18,52,30,2016ApJ...830...42C
5190,On the Universality of the Bound Zone Peculiar Velocity Profile,2016,"Lee, Jounghun",1,20,17,2016ApJ...832..123L
5191,Unification of the fundamental plane and Super Massive Black Hole Masses,2016,"van den Bosch, Remco C. E.",1,241,130,2016ApJ...831..134V
5192,Detection of Possible Quasi-periodic Oscillations in the Long-term Optical Light Curve of the BL Lac Object OJ 287,2016,"Bhatta, G.",15,90,49,2016ApJ...832...47B
5193,"The Systematics of Strong Lens Modeling Quantified: The Effects of Constraint Selection and Redshift Information on Magnification, Mass, and Multiple Image Predictability",2016,"Johnson, Traci L.",2,82,52,2016ApJ...832...82J
5194,Sustained Turbulence in Differentially Rotating Magnetized Fluids at a Low Magnetic Prandtl Number,2016,"Nauman, Farrukh",2,14,11,2016ApJ...833..187N
5195,Particle Acceleration in Solar Flares and Associated CME Shocks,2016,"Petrosian, Vahé",1,30,22,2016ApJ...830...28P
5196,The Grism Lens-Amplified Survey from Space (GLASS). VI. Comparing the Mass and Light in MACS J0416.1-2403 Using Frontier Field Imaging and GLASS Spectroscopy,2016,"Hoag, A.",15,53,34,2016ApJ...831..182H
5197,Is the Line-like Optical Afterglow SED of GRB 050709 Due to a Flare?,2016,"Liu, Cong",3,0,0,2016ApJ...833..234L
5198,Turbulent Dynamo in a Conducting Fluid and a Partially Ionized Gas,2016,"Xu, Siyao",2,76,31,2016ApJ...833..215X
5199,Unravelling the Complex Structure of AGN-driven Outflows. II. Photoionization and Energetics,2016,"Karouzos, Marios",3,49,35,2016ApJ...833..171K
5200,The Complex Circumnuclear Environment of the Broad-line Radio Galaxy 3C 390.3 Revealed by Chandra HETG,2016,"Tombesi, F.",9,11,7,2016ApJ...830...98T
5201,Discovery of a Possible Cool White Dwarf Companion from the AllWISE Motion Survey,2016,"Fajardo-Acosta, Sergio B.",9,7,2,2016ApJ...832...62F
5202,Pixel Analysis of Photospheric Spectral Data. I. Plasma Dynamics,2016,"Rasca, Anthony P.",3,0,0,2016ApJ...832...53R
5203,Closed-field Coronal Heating Driven by Wave Turbulence,2016,"Downs, Cooper",5,53,24,2016ApJ...832..180D
5204,Hydrocarbon Emission Rings in Protoplanetary Disks Induced by Dust Evolution,2016,"Bergin, Edwin A.",7,171,107,2016ApJ...831..101B
5205,Estimating Distances from Parallaxes. II. Performance of Bayesian Distance Estimators on a Gaia-like Catalogue,2016,"Astraatmadja, Tri L.",2,135,112,2016ApJ...832..137A
5206,The Extended High A(V) Quasar Survey: Searching for Dusty Absorbers toward Mid-infrared-selected Quasars,2016,"Krogager, J. -K.",9,24,19,2016ApJ...832...49K
5207,A Common Origin for Globular Clusters and Ultra-faint Dwarfs in Simulations of the First Galaxies,2016,"Ricotti, Massimo",3,76,48,2016ApJ...831..204R
5208,Global Properties of Rotating Neutron Stars with QCD Equations of State,2016,"Gorda, Tyler",1,16,14,2016ApJ...832...28G
5209,Do the Most Massive Black Holes at z = 2 Grow via Major Mergers?,2016,"Mechtley, M.",14,111,62,2016ApJ...830..156M
5210,A Low frequency Survey of Giant Pulses from the Crab Pulsar,2016,"Eftekhari, T.",5,21,13,2016ApJ...829...62E
5211,Multi-fluid Approach to High-frequency Waves in Plasmas: I. Small-amplitude Regime in Fully Ionized Medium,2016,"Martínez-Gómez, David",3,24,17,2016ApJ...832..101M
5212,Laboratory Measurements Compellingly Support a Charge-exchange Mechanism for the ’Dark Matter’ ~3.5 keV X-Ray Line,2016,"Shah, Chintan",7,53,39,2016ApJ...833...52S
5213,Deep Optical Observations of Unusual Neutron Star Calvera with the GTC,2016,"Shibanov, Yury",5,11,8,2016ApJ...831..112S
5214,Stellar Mixing Length Theory with Entropy Rain,2016,"Brandenburg, Axel",1,79,42,2016ApJ...832....6B
5215,Demonstrating Diversity in Star-formation Histories with the CSI Survey,2016,"Dressler, Alan",11,32,26,2016ApJ...833..251D
5216,Low-frequency Observations of Linearly Polarized Structures in the Interstellar Medium near the South Galactic Pole,2016,"Lenc, E.",79,76,56,2016ApJ...830...38L
5217,Galaxy Groups in the 2Mass Redshift Survey,2016,"Lu, Yi",9,31,19,2016ApJ...832...39L
5218,Material Supply and Magnetic Configuration of an Active Region Filament,2016,"Zou, P.",6,24,17,2016ApJ...831..123Z
5219,Contribution of Neutron Star Mergers to the r-Process Chemical Evolution in the Hierarchical Galaxy Formation,2016,"Komiya, Yutaka",2,54,45,2016ApJ...830...76K
5220,Global Instability of the Exo-moon System Triggered by Photo-evaporation,2016,"Yang, Ming",5,3,1,2016ApJ...833....7Y
5221,"The Merging Galaxy Cluster A520—A Broken-up Cool Core, A Dark Subcluster, and an X-Ray Channel",2016,"Wang, Qian H. S.",3,35,24,2016ApJ...833...99W
5222,Mass Measurements in Protoplanetary Disks from Hydrogen Deuteride,2016,"McClure, M. K.",11,171,105,2016ApJ...831..167M
5223,Evidence for Cluster to Cluster Variations in Low-mass Stellar Rotational Evolution,2016,"Coker, Carl T.",3,22,16,2016ApJ...833..122C
5224,Deriving the Properties of Coronal Pressure Fronts in 3D: Application to the 2012 May 17 Ground Level Enhancement,2016,"Rouillard, A. P.",15,93,58,2016ApJ...833...45R
5225,The Evolution of Post-starburst Galaxies from z ~ 1 to the Present,2016,"Pattarakijwanich, Petchara",4,25,16,2016ApJ...833...19P
5226,ELUCID - Exploring the Local Universe with ReConstructed Initial Density Field III: Constrained Simulation in the SDSS Volume,2016,"Wang, Huiyuan",10,139,65,2016ApJ...831..164W
5227,Critical Layers and Protoplanetary Disk Turbulence,2016,"Umurhan, Orkan M.",3,25,22,2016ApJ...830...95U
5228,"Today a Duo, but Once a Trio? The Double White Dwarf HS 2220+2146 May Be a Post-blue Straggler Binary",2016,"Andrews, Jeff J.",7,10,7,2016ApJ...828...38A
5229,Spectropolarimetry of Superluminous Supernovae: Insight into Their Geometry,2016,"Inserra, C.",4,88,60,2016ApJ...831...79I
5230,ALMA Spectroscopic Survey in the Hubble Ultra Deep Field: CO Luminosity Functions and the Evolution of the Cosmic Density of Molecular Gas,2016,"Decarli, Roberto",40,119,88,2016ApJ...833...69D
5231,Kinetic Extension of Critical Balance to Whistler Turbulence,2016,"Narita, Y.",1,5,2,2016ApJ...831...83N
5232,New Insights into the Spectral Variability and Physical Conditions of the X-Ray Absorbers in NGC 4151,2016,"Couto, J. D.",4,19,13,2016ApJ...833..191C
5233,Properties of Supersonic Evershed Downflows,2016,"Pozuelo, S. Esteban",3,11,7,2016ApJ...832..170P
5234,"KOI-1003: A New Spotted, Eclipsing RS CVn Binary in the Kepler Field",2016,"Roettenbacher, Rachael M.",4,12,9,2016ApJ...832..207R
5235,Monte Carlo Radiation Transfer Simulations of Photospheric Emission in Long-duration Gamma-ray Bursts,2016,"Lazzati, Davide",1,23,15,2016ApJ...829...76L
5236,Shear Acceleration in Expanding Flows,2016,"Rieger, F. M.",2,19,16,2016ApJ...833...34R
5237,Exploring the Transient Radio Sky with VLITE: Early Results,2016,"Polisensky, E.",9,56,27,2016ApJ...832...60P
5238,The Carnegie-Chicago Hubble Program. I. An Independent Approach to the Extragalactic Distance Scale Using Only Population II Distance Indicators,2016,"Beaton, Rachael L.",18,139,93,2016ApJ...832..210B
5239,The Second Arecibo Search for 5 GHz Radio Flares from Ultracool Dwarfs,2016,"Route, Matthew",2,33,15,2016ApJ...830...85R
5240,Revisiting the Structure and Spectrum of the Magnetic-reconnection-heated Corona in Luminous AGNs,2016,"Liu, J. Y.",3,16,10,2016ApJ...833...35L
5241,"Neutrino, γ-Ray, and Cosmic-Ray Fluxes from the Core of the Closest Radio Galaxies",2016,"Fraija, N.",2,31,21,2016ApJ...830...81F
5242,Herschel Observations of Dusty Debris Disks,2016,"Vican, Laura",7,24,16,2016ApJ...833..263V
5243,Cosmological simulations of Milky Way-sized galaxies,2016,"Colín, Pedro",4,23,18,2016ApJ...829...98C
5244,Observations of Rotating Radio Transients with the First Station of the Long Wavelength Array,2016,"Taylor, G. B.",8,4,4,2016ApJ...831..140T
5245,"AstroSat CZT Imager Observations of GRB 151006A: Timing, Spectroscopy, and Polarization Study",2016,"Rao, A. R.",27,36,28,2016ApJ...833...86R
5246,A Constraint on the Formation Timescale of the Young Open Cluster NGC 2264: Lithium Abundance of Pre-main Sequence Stars,2016,"Lim, Beomdu",6,19,13,2016ApJ...831..116L
5247,The Circumgalactic Medium of Submillimeter Galaxies. I. First Results from a Radio-identified Sample,2016,"Fu, Hai",17,13,11,2016ApJ...832...52F
5248,Disentangling the Virgo Overdensity with RR Lyrae stars,2016,"Vivas, A. Katherina",5,21,15,2016ApJ...831..165V
5249,Formation of H I Clouds in Shock-compressed Interstellar Medium: Physical Origin of Angular Correlation between Filamentary Structure and Magnetic Field,2016,"Inoue, Tsuyoshi",2,50,33,2016ApJ...833...10I
5250,"Stirred, Not Clumped: Evolution of Temperature Profiles in the Outskirts of Galaxy Clusters",2016,"Avestruz, Camille",3,16,13,2016ApJ...833..227A
5251,Testing Relativistic Reflection and Resolving Outflows in PG 1211+143 with XMM-Newton and NuSTAR,2016,"Lobban, A. P.",4,10,8,2016ApJ...831..201L
5252,The Quenching Timescale and Quenching Rate of Galaxies,2016,"Lian, Jianhui",4,15,13,2016ApJ...832...29L
5253,X-Ray Detected Active Galactic Nuclei in Dwarf Galaxies at 0 &lt; z &lt; 1,2016,"Pardo, K.",9,95,54,2016ApJ...831..203P
5254,Rotational Evolution of Magnetars in the Presence of a Fallback Disk,2016,"Tong, H.",4,31,17,2016ApJ...833..265T
5255,The Effect of Electron Thermal Pressure on the Observed Magnetic Helicity in the Solar Wind,2016,"Markovskii, S. A.",3,9,4,2016ApJ...833..212M
5256,Simulations of Alfvén and Kink Wave Driving of the Solar Chromosphere: Efficient Heating and Spicule Launching,2016,"Brady, C. S.",2,22,18,2016ApJ...829...80B
5257,A Comparison and Joint Analysis of Sunyaev-Zel’dovich Effect Measurements from Planck and Bolocam for a Set of 47 Massive Galaxy Clusters,2016,"Sayers, Jack",10,38,28,2016ApJ...832...26S
5258,X-ray Flashes in Recurrent Novae: M31N 2008-12a and the Implications of the Swift Nondetection,2016,"Kato, Mariko",13,27,17,2016ApJ...830...40K
5259,Tracing Infall and Rotation along the Outflow Cavity Walls of the L483 Protostellar Envelope,2016,"Leung, Gigi Y. C.",3,7,5,2016ApJ...833...55L
5260,Two Eclipsing Ultraluminous X-Ray Sources in M51,2016,"Urquhart, R.",2,32,23,2016ApJ...831...56U
5261,"Star Formation Laws in Both Galactic Massive Clumps and External Galaxies: Extensive Study with Dust Coninuum, HCN (4-3), and CS (7-6)",2016,"Liu, Tie",21,49,22,2016ApJ...829...59L
5262,A Comprehensive Study of Hydrogen Adsorbing to Amorphous Water ice: Defining Adsorption in Classical Molecular Dynamics,2016,"Dupuy, John L.",3,7,4,2016ApJ...831...54D
5263,SN Refsdal: Classification as a Luminous and Blue SN 1987A-like Type II Supernova,2016,"Kelly, P. L.",23,55,35,2016ApJ...831..205K
5264,Chemical Evolution of Red MSX Sources in the Southern Sky,2016,"Yu, Naiping",2,15,11,2016ApJ...833..248Y
5265,"Inference of Heating Properties from ""Hot"" Non-flaring Plasmas in Active Region Cores. II. Nanoflare Trains",2016,"Barnes, W. T.",3,34,24,2016ApJ...833..217B
5266,Dust Capture and Long-lived Density Enhancements Triggered by Vortices in 2D Protoplanetary Disks,2016,"Surville, Clément",3,49,39,2016ApJ...831...82S
5267,The Formation of an Inverse S-shaped Active-region Filament Driven by Sunspot Motion and Magnetic Reconnection,2016,"Yan, X. L.",6,45,31,2016ApJ...832...23Y
5268,High-wavenumber Solar f-mode Strengthening Prior to Active Region Formation,2016,"Singh, Nishant K.",3,20,9,2016ApJ...832..120S
5269,Return of the King: Time-series Photometry of FO Aquarii’s Initial Recovery from its Unprecedented 2016 Low State,2016,"Littlefield, Colin",31,20,16,2016ApJ...833...93L
5270,"High-resolution Observations of Molecular Lines in Arp 220: Kinematics, Morphology, and Limits on the Applicability of the Ammonia Thermometer",2016,"Zschaechner, Laura K.",6,14,11,2016ApJ...833...41Z
5271,Fermi Study of Gamma-ray Millisecond Pulsars: the Spectral Shape and Pulsed Emission from J0614-3329 up to 60 GeV,2016,"Xing, Yi",2,19,11,2016ApJ...831..143X
5272,Impact of New Gamow-Teller Strengths on Explosive Type Ia Supernova Nucleosynthesis,2016,"Mori, Kanji",9,30,22,2016ApJ...833..179M
5273,Dependence of X-Ray Burst Models on Nuclear Reaction Rates,2016,"Cyburt, R. H.",8,137,78,2016ApJ...830...55C
5274,Estimating Distances from Parallaxes. III. Distances of Two Million Stars in the Gaia DR1 Catalogue,2016,"Astraatmadja, Tri L.",2,140,119,2016ApJ...833..119A
5275,On Helium Mixing in Quasi-global Simulations of the Intracluster Medium,2016,"Berlok, Thomas",2,9,8,2016ApJ...833..164B
5276,Links between the Shock Instability in Core-collapse Supernovae and Asymmetric Accretions of Envelopes,2016,"Takahashi, Kazuya",4,22,19,2016ApJ...831...75T
5277,A Survey of Magnetic Waves Excited by Newborn Interstellar He<SUP>+</SUP> Observed by the ACE Spacecraft at 1 au,2016,"Fisher, Meghan K.",12,27,16,2016ApJ...830...47F
5278,Optical and Ultraviolet Observations of the Very Young Type IIP SN 2014cx in NGC 337,2016,"Huang, Fang",18,24,18,2016ApJ...832..139H
5279,"The Emission, Lifetimes, and Formation Threshold of the Vegard-Kaplan Transition of Solid Nitrogen Exposed to Far-ultraviolet Radiation",2016,"Lu, Hsiao-Chi",6,5,4,2016ApJ...832...25L
5280,Global Energetics of Solar Flares. III. Nonthermal Energies,2016,"Aschwanden, Markus J.",6,63,48,2016ApJ...832...27A
5281,Catastrophic Disruption of Comet ISON,2016,"Keane, Jacqueline V.",9,8,6,2016ApJ...831..207K
